,time,mask,method marginalized,local SAP,local PDCSAP,polyAM SAP,polyAM PDCSAP,GP SAP,GP PDCSAP,CoFiAM SAP,CoFiAM PDCSAP
23,275.34513416865957,False,-3.847049135469183e-05,9.0221319681838e-07,-9.144858504650522e-05,7.410989559253345e-05,-8.400020184928803e-05,-3.7350523612866837e-06,-6.16781341212791e-05,-2.0445076405084528e-05,-5.6495906304299126e-05
24,275.3655668610809,False,-0.0001150094648804667,-0.00013358772956950649,-0.00011858772110728832,-6.352907016582421e-05,-0.00011143120865364509,-0.00013797336302368013,-9.166457572418185e-05,-0.0001539731993046578,-8.068922392023836e-05
25,275.3859994535087,False,-1.621207456109497e-05,-1.201289278596196e-05,-4.0145902210464435e-05,5.494300121733353e-05,-3.3278507002965085e-05,-1.6243117263226026e-05,-1.6181031858963912e-05,-3.138998799012693e-05,1.4746986964908615e-07
26,275.4064322457052,False,9.366191070170338e-05,6.095342527157044e-05,9.03716134146304e-05,0.00012483094286830365,9.695220798877635e-05,5.681016471426048e-05,0.00011217158089360524,4.2634730575974444e-05,0.00013250255641295006
27,275.4268649378937,False,4.7801427370486316e-05,5.010639696179098e-05,2.819772276252408e-05,0.00011092830451153723,3.449226345608736e-05,4.601311960472643e-05,4.9589735136246205e-05,3.289363312375393e-05,7.159872913775622e-05
28,275.44729752985586,False,0.00017447220247956974,0.0001500638865801207,0.00017146630144271313,0.0002078649819672318,0.00017747810351642634,0.000146003988090726,0.00019480975198638006,0.00013399821589432648,0.00021559241063506818
29,275.46773022158595,False,0.00015051599734194898,0.00015253405420234678,0.00013920312304938065,0.00020733671228878592,0.0001449331530920528,0.00014849794048155118,0.00016706322367276982,0.0001376571644275959,0.00018350356455365535
30,275.4881630130767,False,-8.664406931002677e-05,-8.462162187772293e-05,-9.981387423829702e-05,-3.280149764484097e-05,-9.43646609914417e-05,-8.866651674233061e-05,-6.54666181197916e-05,-9.82694397606565e-05,-5.587524577432834e-05
31,275.5085956045732,False,-6.664389888322297e-05,-6.457554224492679e-05,-9.310988888311389e-05,-1.569558643188529e-05,-8.793801019302272e-05,-6.871225552151916e-05,-5.152880532488524e-05,-7.696407492963075e-05,-5.002798994513391e-05
32,275.52902829583763,False,-7.701745495297674e-05,-6.614869492505004e-05,-0.0001252542132046397,-2.0181653315409775e-05,-0.00012035777820185167,-7.049782546364458e-05,-7.67882638529338e-05,-7.724664605301967e-05,-8.351041914989032e-05
33,275.5698937778943,False,6.184396173336548e-05,0.00010412379155155804,-3.0336114497986344e-05,0.00014435720408467745,-2.5983521386496733e-05,9.890771218645789e-05,2.8001404049904366e-05,9.56865194168266e-05,7.4261186160384796e-06
