epoch,t0s,t0s_err
344,3823.0197,0.019
345,3833.9535,0.0199
346,3844.8816,0.0209
347,3855.8034,0.0218
348,3866.7206,0.0225
349,3877.6324,0.0233
350,3888.5405,0.0238
351,3899.4434,0.0243
352,3910.3444,0.0245
353,3921.2409,0.0247
354,3932.138,0.0246
355,3943.0313,0.0245
356,3953.9282,0.0239
357,3964.8214,0.0235
358,3975.7215,0.0227
359,3986.618,0.022
360,3997.5247,0.0209
361,4008.4276,0.02
362,4019.3438,0.0189
363,4030.2556,0.0179
364,4041.1831,0.0167
365,4052.1053,0.0157
366,4063.0447,0.0146
367,4073.9789,0.0136
368,4084.9317,0.0127
369,4095.8784,0.0118
370,4106.8432,0.0111
371,4117.8016,0.0103
372,4128.7781,0.0099
373,4139.7482,0.0092
374,4150.7356,0.009
375,4161.7159,0.0085
376,4172.7118,0.0084
377,4183.7006,0.0081
378,4194.7035,0.0081
379,4205.6996,0.008
380,4216.708,0.0081
381,4227.7097,0.0081
382,4238.7214,0.0084
383,4249.7269,0.0085
384,4260.7402,0.0088
385,4271.7477,0.009
386,4282.7606,0.0095
387,4293.7682,0.0098
388,4304.779,0.0103
389,4315.7848,0.0108
390,4326.7916,0.0115
391,4337.7936,0.012
392,4348.7944,0.0128
393,4359.7907,0.0135
394,4370.7843,0.0145
395,4381.7736,0.0153
396,4392.7582,0.0164
397,4403.7387,0.0174
398,4414.7131,0.0185
399,4425.6832,0.0196
400,4436.6458,0.0209
401,4447.6041,0.0221
402,4458.5535,0.0234
403,4469.499,0.0247
404,4480.4364,0.026
405,4491.3691,0.0273
406,4502.2941,0.0285
407,4513.2135,0.0297
408,4524.1268,0.0308
409,4535.0345,0.0318
410,4545.9382,0.0327
411,4556.8372,0.0334
412,4567.7334,0.0339
413,4578.6253,0.0342
414,4589.5172,0.0344
415,4600.4068,0.0342
416,4611.2976,0.034
417,4622.1892,0.0332
418,4633.0826,0.0326
419,4643.9805,0.0314
420,4654.8797,0.0304
421,4665.7879,0.0288
422,4676.6958,0.0276
423,4687.6172,0.0258
424,4698.5356,0.0244
425,4709.4709,0.0226
426,4720.4011,0.0212
427,4731.3514,0.0195
428,4742.2945,0.0182
429,4753.259,0.0168
430,4764.2144,0.0156
431,4775.1933,0.0146
432,4786.1605,0.0136
433,4797.1507,0.0129
434,4808.1288,0.0121
435,4819.1285,0.0118
436,4830.1159,0.0112
437,4841.1228,0.0111
438,4852.1177,0.0108
439,4863.13,0.0109
440,4874.1305,0.0107
441,4885.1457,0.011
442,4896.15,0.011
443,4907.1663,0.0114
444,4918.1728,0.0116
445,4929.1883,0.0121
446,4940.1951,0.0124
447,4951.2081,0.0131
448,4962.2134,0.0135
449,4973.222,0.0143
450,4984.2241,0.0149
451,4995.2267,0.0158
