toi,tid,pl_tranmid,pl_orbper,pl_trandurh,pl_trandep
4175.01,952046774,2459331.842,2.1642388,1.264,800
4176.01,58533991,2459328.306,3.2089372,3.1,6310
4177.01,130981260,2459326.787,3.6928326,4.112,5440
4178.01,289988797,2459329.984,2.2042197,1.088,3180
4179.01,297148017,2459330.927,2.5485772,3.113,1270
4169.01,372747949,2459034.994,3.4027288,5.234,2850
4170.01,366972162,2459033.602,2.1902355,3.189,9110
4171.01,362223355,2459031.665,3.7441174,1.865,2340
4172.01,359388309,2459029.031,4.1917874,2.973,950
4173.01,358613376,2459032.805,8.2712057,3.922,20800
4174.01,356822426,2459032.837,1.5568663,0.869,1160
4161.01,441572821,2459032.796,4.2607579,6.322,3110
4162.01,420114036,2459029.198,4.3744338,5.356,8810
4163.01,420112217,2459003.628,21.5617887,5.767,3580
4164.01,420108587,2459031.88,3.5231332,2.652,820
4165.01,398371628,2459035.065,7.1407059,1.894,7160
4166.01,389777651,2459030.733,5.236168,2.843,860
4167.01,377165123,2459016.911,14.7944045,3.419,9720
4168.01,372758077,2458982.913,29.3816254,2.595,5640
4155.01,467331291,2459033.521,3.3207277,2.469,910
4156.01,462553953,2459026.998,4.4616001,2.754,480
4157.01,461538935,2459026.785,5.2898685,3.091,2390
4158.01,441797394,2459014.706,13.4156681,2.109,1820
4159.01,441600335,2459033.78,0.8659539,0.876,1560
4160.01,441580526,2459030.328,4.4427458,3.248,13290
4150.01,102719996,2459020.879,9.7942872,3.541,3880
4151.01,406926040,2459021.738,11.7001127,3.842,3140
4152.01,1813844121,2459034.078,1.581973,3.05,13350
4153.01,470171739,2459026.055,4.6174187,4.461,10730
4154.01,470156846,2459029.628,7.3447164,4.923,3830
4143.01,371711170,2459015.248,9.8482192,4.24,1670
4144.01,313194972,2459001.3,16.9019988,5.765,15330
4145.01,279947414,2459027.544,4.0664531,1.9,19850
4146.01,23124038,2459034.883,0.7010826,0.923,4340
4147.01,138329479,2459031.603,2.3745391,3.242,10260
4148.01,137157546,2459028.461,3.6841446,2.967,2260
4149.01,103096524,2459031.086,3.2925701,2.189,16760
4135.01,288471040,2459032.27,2.5139201,2.385,590
4136.01,420680343,2459033.019,3.7628839,3.503,1720
4137.01,417646390,2459032.285,3.8016435,3.294,8320
4138.01,257060897,2459031.081,3.6600172,4.575,8420
4139.01,408729765,2459026.649,4.6200781,2.149,3480
4140.01,400103802,2459030.485,4.2511545,2.887,14100
4141.01,400093775,2459028.986,3.6023144,2.812,9380
4142.01,39573090,2459028.569,3.6579226,3.68,5040
4129.01,123357034,2459030.903,3.2725202,1.48,5650
4130.01,71396541,2459031.312,6.269716,3.696,1240
4131.01,47937361,2459030.915,2.3382773,2.335,13670
4132.01,335655755,2459019.468,11.764904,4.423,4780
4133.01,468396217,2459028.422,4.1571402,4.374,7820
4134.01,420803693,2459033.325,0.9135968,1.247,540
4121.01,157218656,2459029.557,2.8624005,2.624,13520
4122.01,156215204,2459034.669,2.4308728,1.74,1580
4123.01,153896150,2459034.905,2.7878876,1.136,2940
4124.01,150761163,2459032.436,3.413951,3.04,8980
4125.01,147761049,2459034.183,4.7156367,3.117,10950
4126.01,141616639,2459032.681,3.2428744,2.417,1470
4127.01,141488193,2458862.719,169.2131245,4.069,9060
4128.01,137420801,2459031.051,1.9794955,2.19,2400
4117.01,198189972,2459000.354,25.0929137,5.319,4690
